Model,MAE,MSE,R2
LinearRegression,82657.94605893594,10549721686.16417,0.9146454505137673
RobustRegression,199465.55955429282,61664910393.2493,0.5010881990728193
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,82894.4470624986,10604968516.752438,0.9141984654201617
SGDRegressor,3.281635474387551e+17,1.1162361923433876e+35,-9.031123298982443e+23
ANN,199299.15987700675,61430098504.296234,0.5029879897584717
RandomForest,98644.11162699819,15146309350.833181,0.8774558751900556
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
